Ticker,Fri->Thu(+1w)@90.0%,Fri->Thu(+1w)@90.5%,Fri->Thu(+1w)@91.0%,Fri->Thu(+1w)@91.5%,Fri->Thu(+1w)@92.0%,Fri->Thu(+1w)@92.5%,Fri->Thu(+1w)@93.0%,Fri->Thu(+1w)@93.5%,Fri->Thu(+1w)@94.0%,Fri->Thu(+1w)@94.5%,Fri->Thu(+1w)@95.0%,Fri->Thu(+1w)@95.5%,Fri->Thu(+1w)@96.0%,Fri->Thu(+1w)@96.5%,Fri->Thu(+1w)@97.0%,Fri->Thu(+1w)@97.5%,Fri->Thu(+1w)@98.0%,Fri->Thu(+1w)@98.5%,Fri->Thu(+1w)@99.0%,Fri->Thu(+1w)@99.5%,Fri->Tue(+1w)@90.0%,Fri->Tue(+1w)@90.5%,Fri->Tue(+1w)@91.0%,Fri->Tue(+1w)@91.5%,Fri->Tue(+1w)@92.0%,Fri->Tue(+1w)@92.5%,Fri->Tue(+1w)@93.0%,Fri->Tue(+1w)@93.5%,Fri->Tue(+1w)@94.0%,Fri->Tue(+1w)@94.5%,Fri->Tue(+1w)@95.0%,Fri->Tue(+1w)@95.5%,Fri->Tue(+1w)@96.0%,Fri->Tue(+1w)@96.5%,Fri->Tue(+1w)@97.0%,Fri->Tue(+1w)@97.5%,Fri->Tue(+1w)@98.0%,Fri->Tue(+1w)@98.5%,Fri->Tue(+1w)@99.0%,Fri->Tue(+1w)@99.5%,Fri->Wed(+1w)@90.0%,Fri->Wed(+1w)@90.5%,Fri->Wed(+1w)@91.0%,Fri->Wed(+1w)@91.5%,Fri->Wed(+1w)@92.0%,Fri->Wed(+1w)@92.5%,Fri->Wed(+1w)@93.0%,Fri->Wed(+1w)@93.5%,Fri->Wed(+1w)@94.0%,Fri->Wed(+1w)@94.5%,Fri->Wed(+1w)@95.0%,Fri->Wed(+1w)@95.5%,Fri->Wed(+1w)@96.0%,Fri->Wed(+1w)@96.5%,Fri->Wed(+1w)@97.0%,Fri->Wed(+1w)@97.5%,Fri->Wed(+1w)@98.0%,Fri->Wed(+1w)@98.5%,Fri->Wed(+1w)@99.0%,Fri->Wed(+1w)@99.5%,Mon->Thu@90.0%,Mon->Thu@90.5%,Mon->Thu@91.0%,Mon->Thu@91.5%,Mon->Thu@92.0%,Mon->Thu@92.5%,Mon->Thu@93.0%,Mon->Thu@93.5%,Mon->Thu@94.0%,Mon->Thu@94.5%,Mon->Thu@95.0%,Mon->Thu@95.5%,Mon->Thu@96.0%,Mon->Thu@96.5%,Mon->Thu@97.0%,Mon->Thu@97.5%,Mon->Thu@98.0%,Mon->Thu@98.5%,Mon->Thu@99.0%,Mon->Thu@99.5%,Mon->Tue@90.0%,Mon->Tue@90.5%,Mon->Tue@91.0%,Mon->Tue@91.5%,Mon->Tue@92.0%,Mon->Tue@92.5%,Mon->Tue@93.0%,Mon->Tue@93.5%,Mon->Tue@94.0%,Mon->Tue@94.5%,Mon->Tue@95.0%,Mon->Tue@95.5%,Mon->Tue@96.0%,Mon->Tue@96.5%,Mon->Tue@97.0%,Mon->Tue@97.5%,Mon->Tue@98.0%,Mon->Tue@98.5%,Mon->Tue@99.0%,Mon->Tue@99.5%,Mon->Wed@90.0%,Mon->Wed@90.5%,Mon->Wed@91.0%,Mon->Wed@91.5%,Mon->Wed@92.0%,Mon->Wed@92.5%,Mon->Wed@93.0%,Mon->Wed@93.5%,Mon->Wed@94.0%,Mon->Wed@94.5%,Mon->Wed@95.0%,Mon->Wed@95.5%,Mon->Wed@96.0%,Mon->Wed@96.5%,Mon->Wed@97.0%,Mon->Wed@97.5%,Mon->Wed@98.0%,Mon->Wed@98.5%,Mon->Wed@99.0%,Mon->Wed@99.5%
IRPC.BK,0,0,0,0,0,0,0,0,0,0,0,2,5,11,15,24,37,60,78,115,0,0,0,0,0,0,0,0,0,0,0,2,4,9,13,22,35,58,77,116,0,0,0,0,0,0,0,0,0,0,0,2,5,11,15,24,37,58,77,115,0,0,0,0,0,0,0,0,0,0,1,5,6,10,15,22,34,51,66,101,0,0,0,0,0,0,0,0,0,0,1,5,6,10,15,23,34,51,67,102,0,0,0,0,0,0,0,0,0,0,1,5,6,10,15,23,35,52,68,101
ITC.BK,0,0,0,0,0,0,2,2,3,4,5,8,10,15,20,26,36,61,81,106,0,0,0,0,0,1,4,5,6,7,8,11,13,18,24,29,39,62,80,105,0,0,0,0,0,1,4,5,6,7,8,11,13,18,24,30,40,64,83,105,0,0,0,0,0,0,1,1,1,4,4,6,8,16,18,28,38,57,71,91,0,0,0,0,0,0,1,1,1,4,4,6,8,16,18,28,38,57,72,93,0,0,0,0,0,0,1,1,1,4,4,6,8,16,18,28,38,58,72,93
IVL.BK,1,1,1,1,1,1,1,1,3,6,7,8,9,16,18,25,41,58,75,99,1,1,1,1,1,1,1,1,3,6,7,8,9,16,18,25,41,58,76,100,1,1,1,1,1,1,1,1,3,6,7,8,9,16,18,25,42,59,77,100,0,0,0,0,0,0,0,0,0,0,1,1,5,11,16,30,39,55,72,99,0,0,0,0,0,0,0,0,0,0,1,1,5,12,17,31,39,55,74,99,0,0,0,0,0,0,0,0,0,0,1,1,5,12,17,31,39,54,73,99
JAS.BK,1,1,1,1,1,2,3,3,3,4,5,9,10,16,21,30,39,60,74,106,1,1,1,1,1,2,3,3,3,4,5,9,9,15,19,27,36,57,71,104,1,1,1,1,1,2,3,3,3,4,5,9,10,16,21,29,37,58,73,106,0,0,0,0,2,3,5,6,8,8,8,11,15,18,26,34,41,52,59,94,0,0,0,0,2,3,5,6,8,8,8,11,15,18,26,35,42,53,60,96,0,0,0,0,2,3,5,6,8,8,8,11,15,18,26,35,42,54,61,95
JMART.BK,1,2,3,3,5,5,5,9,9,11,14,17,23,27,37,52,61,85,100,113,1,2,3,3,5,5,5,9,9,11,13,16,21,25,34,49,59,83,99,111,1,2,3,3,5,5,5,8,8,10,13,16,22,25,35,51,61,85,102,114,3,3,3,4,5,6,6,6,6,7,7,9,15,23,29,42,57,74,87,104,3,3,3,4,5,6,6,6,6,7,7,9,15,24,30,43,56,75,88,104,3,3,3,4,5,6,6,6,6,7,7,9,15,24,30,41,56,75,88,104
JMT.BK,0,0,0,0,1,2,4,7,9,11,12,16,21,27,37,48,57,71,87,121,0,0,0,0,1,2,4,7,9,11,12,15,20,26,35,47,56,69,85,120,0,0,0,0,1,2,4,7,9,10,11,15,20,25,35,47,56,70,87,122,2,2,2,3,4,5,6,7,11,12,14,14,19,26,33,49,63,75,91,111,2,2,2,3,4,5,6,7,11,12,14,14,19,26,33,49,62,74,91,112,2,2,2,3,4,5,6,7,11,12,14,14,19,26,33,48,61,74,92,113
JTS.BK,3,3,3,3,3,4,6,12,13,18,23,28,33,47,54,59,72,87,93,113,3,3,3,3,3,4,6,12,13,17,23,28,33,46,53,58,72,89,94,113,3,3,3,3,3,4,6,12,13,18,24,29,33,47,53,58,71,88,93,114,4,5,6,6,6,8,9,10,13,18,25,33,38,44,52,60,68,83,90,107,4,4,5,5,5,7,9,10,13,18,25,33,39,45,54,61,70,85,92,108,4,5,6,6,6,8,10,11,14,19,26,34,40,46,55,63,72,85,92,108
KBANK.BK,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,6,17,39,75,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,6,18,41,75,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,6,16,39,76,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,6,15,35,69,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,6,15,35,69,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,5,14,34,68
KCE.BK,0,0,0,0,0,1,1,3,4,5,7,9,13,18,21,36,52,68,95,118,0,0,0,0,0,1,1,3,4,5,7,9,13,18,22,37,55,71,97,120,0,0,0,0,0,1,1,3,4,5,7,9,13,18,22,37,56,72,97,118,0,0,0,0,0,0,1,1,1,1,1,7,9,15,20,34,44,55,76,103,0,0,0,0,0,0,1,1,1,1,1,7,10,16,21,36,47,58,77,104,0,0,0,0,0,0,1,1,1,1,1,7,10,17,22,37,47,57,77,103
KKP.BK,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,8,16,31,54,92,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,8,16,32,54,92,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,7,15,31,54,90,0,0,0,0,0,0,1,1,1,1,1,1,2,2,4,10,13,28,56,80,0,0,0,0,0,0,1,1,1,1,1,1,2,2,4,10,14,28,57,81,0,0,0,0,0,0,1,1,1,1,1,1,2,2,4,10,14,26,55,80
KTB.BK,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,9,15,26,48,101,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,8,14,24,46,101,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,9,14,24,45,101,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,6,24,49,85,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,6,24,49,88,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,6,23,46,85
KTC.BK,0,0,0,0,0,0,1,1,1,1,2,3,3,3,7,16,24,42,69,101,0,0,0,0,0,0,0,0,0,0,1,2,2,3,7,16,24,42,68,99,0,0,0,0,0,0,1,1,1,1,2,3,3,4,8,16,23,41,66,98,1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,11,25,45,70,93,1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,11,24,46,70,93,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,9,23,45,70,92
LH.BK,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,8,13,31,64,105,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,8,14,30,61,105,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,8,14,31,63,105,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,10,16,29,55,100,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,10,17,30,58,101,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,9,16,29,57,101
M.BK,0,0,0,0,0,0,0,0,0,0,2,4,7,11,14,20,28,48,76,112,0,0,0,0,0,0,0,0,0,0,2,4,6,10,13,18,25,45,73,110,0,0,0,0,0,0,0,0,0,0,1,3,6,10,13,18,26,45,73,111,0,0,0,0,0,0,0,0,0,0,1,3,4,7,15,26,35,47,68,94,0,0,0,0,0,0,0,0,0,0,1,3,4,7,15,25,35,47,68,94,0,0,0,0,0,0,0,0,0,0,1,3,4,7,15,25,34,46,67,95
MBK.BK,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,9,19,40,70,110,0,0,0,0,0,0,0,0,0,0,1,1,3,4,5,10,20,39,69,108,0,0,0,0,0,0,0,0,0,0,1,1,3,4,5,9,19,40,70,109,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,16,23,40,72,100,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,17,23,40,72,101,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,17,23,40,71,101
MEGA.BK,0,0,0,0,0,0,0,0,1,2,3,4,4,9,12,18,28,49,72,109,0,0,0,0,0,0,0,0,1,2,3,4,4,9,12,16,27,50,74,109,0,0,0,0,0,0,0,0,1,2,3,4,4,9,12,18,29,50,74,109,0,0,0,0,0,0,0,0,0,2,2,2,5,9,16,22,32,49,67,95,0,0,0,0,0,0,0,0,0,2,2,2,4,8,15,21,31,49,67,96,0,0,0,0,0,0,0,0,0,2,2,2,4,8,14,20,30,48,67,95
